date_next,state_name,district_name,market_center_name,commodity_name,arrival_tonnes,price_per_kg,surplus_S,P_High_next,pred_next
2025-11-14,UTTAR PRADESH,HATHRAS,HAATHRAS APMC,CAULIFLOWER,18.0,22.3,2.2637621383637203,0.874,High
2025-11-15,UTTAR PRADESH,HARDOI,HARDOI APMC,CAULIFLOWER,6.6,25.0,2.6861323636958896,0.83,High
2025-11-16,UTTAR PRADESH,KASGANJ,KASGANJ APMC,CAULIFLOWER,21.2,20.5,1.3177070129546269,0.801,High
2025-11-14,UTTAR PRADESH,KANPUR NAGAR,UTTARIPURA APMC,CAULIFLOWER,5.0,18.7,2.242264686285427,0.801,High
2025-11-15,UTTAR PRADESH,KANPUR NAGAR,UTTARIPURA APMC,CAULIFLOWER,6.0,17.5,2.229370039184235,0.777,High
2025-11-18,UTTAR PRADESH,ALIGARH,ALIGARH APMC,BHINDI(LADIES FINGER),1.0,33.0,2.9086084098963654,0.767,High
2025-11-14,MANIPUR,BISHNUPUR,BISHENPUR APMC,RICE,1.8,52.0,0.833163923196192,0.758,High
2025-11-17,UTTAR PRADESH,HARDOI,HARDOI APMC,CAULIFLOWER,8.5,22.3,3.691490565178855,0.755,High
2025-11-15,UTTAR PRADESH,FARRUKHABAD,MOHAMADABAD APMC,CAULIFLOWER,1.4,18.0,1.9822426147822525,0.752,High
2025-11-14,TAMIL NADU,KANNIYAKUMARI,VADASERI APMC,CAULIFLOWER,0.32,72.5,1.0381762692120726,0.751,High
2025-11-17,WEST BENGAL,PASCHIM MEDINIPUR,MEDINIPUR(WEST) APMC,BHINDI(LADIES FINGER),2.0,56.0,2.407054599121497,0.746,High
2025-11-14,UTTAR PRADESH,FARRUKHABAD,MOHAMADABAD APMC,CAULIFLOWER,1.3,19.5,1.896148747008122,0.744,High
2025-11-14,MANIPUR,IMPHAL EAST,LAMLONG BAZAAR APMC,ORANGE,0.3,145.0,1.1782809771940013,0.743,High
2025-11-18,UTTAR PRADESH,UNNAO,BANGARMAU APMC,CAULIFLOWER,2.7,19.9,2.197234751811732,0.741,High
2025-11-14,UTTAR PRADESH,KANNAUJ,KANNAUJ APMC,TOMATO,9.0,19.6,4.11211459381635,0.738,High
2025-11-18,UTTAR PRADESH,BAHRAICH,BAHRAICH APMC,RADDISH,2.5,15.5,2.3808495476999854,0.737,High
2025-11-15,UTTAR PRADESH,JAUNPUR,MUGRABAADSHAHPUR APMC,CAULIFLOWER,2.8,20.85,2.923531229951334,0.732,High
2025-11-14,UTTAR PRADESH,FIROZABAD,FIROZABAD APMC,APPLE,58.0,61.4,3.665820115365834,0.73,High
2025-11-16,UTTAR PRADESH,FARRUKHABAD,MOHAMADABAD APMC,CAULIFLOWER,1.6,17.5,1.8618635680108515,0.728,High
2025-11-15,UTTAR PRADESH,JHANSI,JHANSI APMC,CAULIFLOWER,5.0,24.5,1.3545807751698271,0.727,High
2025-11-14,UTTAR PRADESH,JAUNPUR,MUGRABAADSHAHPUR APMC,CAULIFLOWER,1.7,26.6,1.6592514247593868,0.725,High
2025-11-14,UTTAR PRADESH,BALLIA,BALLIA APMC,CAULIFLOWER,12.0,22.4,1.7576694980296554,0.719,High
2025-11-17,UTTAR PRADESH,KASGANJ,KASGANJ APMC,GREEN CHILLI,7.0,21.5,2.6347446474613423,0.717,High
2025-11-14,KERALA,THIRUVANANTHAPURAM,ARALAMOODU MARKET,CAULIFLOWER,0.4,65.0,1.6364326095415016,0.715,High
2025-11-14,UTTAR PRADESH,MAINPURI,MAINPURI APMC,TOMATO,6.5,20.9,3.6304665589898977,0.714,High
2025-11-18,UTTAR PRADESH,ALIGARH,ALIGARH APMC,CUCUMBAR(KHEERA),12.0,21.5,4.021825804774368,0.713,High
2025-11-17,KERALA,PALAKKAD,KOLLENGODE MARKET,BHINDI(LADIES FINGER),0.8,27.0,3.226685542350608,0.712,High
2025-11-18,PUNJAB,PATIALA,DUDHANSADHAN APMC,CAULIFLOWER,0.5,19.0,3.1890837534998657,0.712,High
2025-11-14,MANIPUR,BISHNUPUR,BISHENPUR APMC,PADDY(COMMON),1.6,30.0,0.8331676878117531,0.71,High
2025-11-18,UTTAR PRADESH,HATHRAS,HAATHRAS APMC,CAULIFLOWER,21.2,15.0,1.1350878015456454,0.709,High
2025-11-18,UTTAR PRADESH,CHANDAULI,CHANDOLI APMC,CAULIFLOWER,6.0,18.0,2.273705501704481,0.707,High
2025-11-15,UTTAR PRADESH,AURAIYA,AURAIYA APMC,TOMATO,12.0,26.5,2.6472621116650257,0.702,High
2025-11-14,UTTAR PRADESH,AURAIYA,AURAIYA APMC,TOMATO,17.0,24.0,2.35156907697615,0.701,High
2025-11-14,UTTAR PRADESH,AMROHA,AMROHA APMC,CAULIFLOWER,9.0,15.0,1.9277022436447704,0.698,High
2025-11-18,UTTAR PRADESH,BHADOHI,GOPIGANJ APMC,BHINDI(LADIES FINGER),0.3,24.9,3.4268979874629384,0.698,High
2025-11-16,UTTAR PRADESH,KANNAUJ,KANNAUJ APMC,CAULIFLOWER,3.8,17.6,1.5549915871993665,0.697,High
2025-11-14,GUJARAT,BANAS KANTHA,DEESA(DEESA VEG YARD) APMC,BHINDI(LADIES FINGER),2.8,46.0,1.5524744422122438,0.697,High
2025-11-15,UTTAR PRADESH,BAHRAICH,BAHRAICH APMC,TOMATO,15.0,30.25,2.286513246678193,0.695,High
2025-11-14,UTTAR PRADESH,SAMBHAL,MURADABAD APMC,GUR(JAGGERY),20.0,42.7,3.8814347862172327,0.694,High
2025-11-15,UTTAR PRADESH,KANNAUJ,KANNAUJ APMC,CAULIFLOWER,3.5,18.0,1.3276570101330225,0.694,High
2025-11-17,UTTAR PRADESH,KANPUR NAGAR,UTTARIPURA APMC,CAULIFLOWER,6.5,17.6,1.4917729181858246,0.692,High
2025-11-14,UTTAR PRADESH,KANPUR NAGAR,UTTARIPURA APMC,CABBAGE,4.5,17.0,2.554558199799624,0.692,High
2025-11-18,UTTAR PRADESH,BALLIA,BALLIA APMC,CAULIFLOWER,17.5,20.5,1.499206473218921,0.69,High
2025-11-18,UTTAR PRADESH,KAUSHAMBI,MANJHANPUR APMC,CAULIFLOWER,4.5,16.8,1.79247415821388,0.69,High
2025-11-15,UTTAR PRADESH,KANPUR NAGAR,UTTARIPURA APMC,TOMATO,6.0,20.7,3.208514171560241,0.688,High
2025-11-17,UTTAR PRADESH,KAUSHAMBI,MANJHANPUR APMC,CAULIFLOWER,3.5,17.3,1.2573127941699516,0.686,High
2025-11-18,UTTAR PRADESH,HARDOI,SANDILA APMC,CAULIFLOWER,2.8,21.8,1.3912423567186794,0.686,High
