Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition prog.,is_program_only_record,child_data_missing,pounds_per_household,pounds_per_individual,child_pound_share,is_covid_era,month_num,redistribution_priority
2020,SEP,PITTSYLVANIA,0,0,0.0,0,0.0,True,False,0.0,0.0,0.0,1,9,Medium
2019,APR,ALBEMARLE,2866,6403,177361.6,115,1929.7,False,False,61.88,27.7,0.011,0,4,Medium
2019,APR,AMHERST,1041,2466,120660.1,524,0.0,False,False,115.91,48.93,0.0,0,4,Low
2019,APR,APPOMATTOX,827,1204,30915.2,87,0.0,False,True,37.38,25.68,0.0,0,4,Medium
2019,APR,AUGUSTA,2880,7272,310195.1,71,1998.0,False,False,107.71,42.66,0.006,0,4,Low
2019,APR,BATH,259,485,16254.5,87,0.0,False,True,62.76,33.51,0.0,0,4,Low
2019,APR,BEDFORD COUNTY,430,932,15696.0,87,0.0,False,True,36.5,16.84,0.0,0,4,Medium
2019,APR,BUCKINGHAM,957,1861,36084.1,87,0.0,False,True,37.71,19.39,0.0,0,4,High
2019,APR,BUENA VISTA,917,1763,24928.6,87,0.0,False,True,27.18,14.14,0.0,0,4,Medium
2019,APR,CAMPBELL,810,1458,73045.2,87,5802.0,False,True,90.18,50.1,0.079,0,4,Low
2019,APR,CHARLOTTESVILLE,1450,3069,45249.0,0,0.0,False,False,31.21,14.74,0.0,0,4,High
2019,APR,CLARKE COUNTY,207,387,13060.4,87,0.0,False,True,63.09,33.75,0.0,0,4,Low
2019,APR,CULPEPER,387,927,34044.4,87,0.0,False,True,87.97,36.73,0.0,0,4,Low
2019,APR,FAUQUIER,772,1635,67229.4,87,0.0,False,True,87.08,41.12,0.0,0,4,Low
2019,APR,FLUVANNA,510,1135,26466.3,99,2552.0,False,False,51.89,23.32,0.096,0,4,Medium
2019,APR,FREDERICK,2214,4390,55299.5,87,0.0,False,True,24.98,12.6,0.0,0,4,High
2019,APR,GREENE,440,998,31454.0,77,720.0,False,False,71.49,31.52,0.023,0,4,Medium
2019,APR,HARRISONBURG,2797,7769,160511.4,0,800.0,False,False,57.39,20.66,0.005,0,4,High
2019,APR,HIGHLAND,199,367,14835.8,87,0.0,False,True,74.55,40.42,0.0,0,4,Low
2019,APR,LEXINGTON,678,1362,36057.8,87,0.0,False,True,53.18,26.47,0.0,0,4,Medium
2019,APR,LOUDOUN,2279,8311,178266.7,1124,18366.4,False,False,78.22,21.45,0.103,0,4,High
2019,APR,LYNCHBURG,7427,10605,138029.9,450,23357.3,False,False,18.58,13.02,0.169,0,4,High
2019,APR,MADISON,219,497,22589.6,87,0.0,False,True,103.15,45.45,0.0,0,4,Low
2019,APR,NELSON,598,1132,40104.6,87,0.0,False,True,67.06,35.43,0.0,0,4,Low
2019,APR,ORANGE,539,1367,41727.5,87,0.0,False,True,77.42,30.52,0.0,0,4,Medium
2019,APR,PAGE COUNTY,318,629,43968.0,87,0.0,False,True,138.26,69.9,0.0,0,4,Low
2019,APR,PITTSYLVANIA,0,0,0.0,87,2140.2,True,False,0.0,0.0,0.0,0,4,Medium
2019,APR,RAPPAHANNOCK,271,654,17087.1,87,0.0,False,True,63.05,26.13,0.0,0,4,Medium
2019,APR,ROCKBRIDGE,2647,3090,15194.4,87,0.0,False,True,5.74,4.92,0.0,0,4,High
2019,APR,ROCKINGHAM,1603,2964,95392.5,87,0.0,False,True,59.51,32.18,0.0,0,4,Medium
2019,APR,SHENANDOAH,1482,3863,109754.0,87,0.0,False,True,74.06,28.41,0.0,0,4,Medium
2019,APR,STAUNTON CITY,481,5228,29005.1,87,811.0,False,True,60.3,5.55,0.028,0,4,High
2019,APR,WARREN,716,2189,43495.5,278,205.3,False,False,60.75,19.87,0.005,0,4,High
2019,APR,WAYNESBORO,640,1087,15243.5,87,7807.5,False,True,23.82,14.02,0.512,0,4,Medium
2019,APR,WINCHESTER,2778,7659,139327.1,220,6856.0,False,False,50.15,18.19,0.049,0,4,High
2019,AUG,ALBEMARLE,2486,6370,187384.6,0,0.0,False,False,75.38,29.42,0.0,0,8,Medium
2019,AUG,AMHERST,1169,2338,109323.7,530,3587.5,False,False,93.52,46.76,0.033,0,8,Low
2019,AUG,APPOMATTOX,658,2125,23352.2,87,0.0,False,True,35.49,10.99,0.0,0,8,High
2019,AUG,AUGUSTA,3111,8176,291585.1,36,0.0,False,False,93.73,35.66,0.0,0,8,Low
2019,AUG,BATH,304,536,14809.8,87,0.0,False,True,48.72,27.63,0.0,0,8,Medium
2019,AUG,BEDFORD COUNTY,492,1426,25988.4,87,0.0,False,True,52.82,18.22,0.0,0,8,Medium
2019,AUG,BUCKINGHAM,930,1880,36178.5,87,0.0,False,True,38.9,19.24,0.0,0,8,High
2019,AUG,BUENA VISTA,874,1335,33041.4,87,0.0,False,True,37.8,24.75,0.0,0,8,Medium
2019,AUG,CAMPBELL,1007,2262,90570.1,87,3643.8,False,True,89.94,40.04,0.04,0,8,Low
2019,AUG,CHARLOTTESVILLE,601,7044,41166.0,0,243.5,False,False,68.5,5.84,0.006,0,8,High
2019,AUG,CLARKE COUNTY,168,338,12149.1,0,0.0,False,False,72.32,35.94,0.0,0,8,Low
2019,AUG,CULPEPER,661,1491,33035.4,87,0.0,False,True,49.98,22.16,0.0,0,8,Medium
