quantity_donated_kg,quantity_available_kg,shelf_life_hours,storage_temp_C,distance_to_foodbank_km,foodbank_capacity_kg,current_stock_kg,beneficiaries_count,redistribution_priority,donation_month,donation_dayofweek,stock_pressure,surplus_ratio,need_per_km,is_perishable,cold_chain_ok,city_Bathinda,city_Chandigarh,city_Delhi,city_Jaipur,city_Jalandhar,city_Ludhiana,city_Patiala,state_Delhi,state_Punjab,state_Rajasthan,donor_type_Gurudwara Langar,donor_type_Hostel Mess,donor_type_Household,donor_type_Restaurant,donor_type_Supermarket,donor_type_Wedding Hall,food_type_Cooked Meals,food_type_Dairy,food_type_Fruits,food_type_Rice,food_type_Vegetables,food_type_Wheat Flour,storage_condition_No Storage,storage_condition_Room,foodbank_id_FB-02,foodbank_id_FB-03,foodbank_id_FB-04,foodbank_id_FB-05,transport_available_Yes
116.3,103.3,114,30.2,6.6,1500,1351,276,2,3,0,0.901,0.888,36.32,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
77.4,52.2,59,4.2,20.0,500,446,98,1,2,0,0.892,0.674,4.67,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
99.5,86.3,4,4.2,10.5,800,136,183,0,1,0,0.17,0.867,15.91,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
134.2,94.9,207,30.2,13.75,1000,839,152,2,1,0,0.839,0.707,10.31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
113.5,70.5,10,24.9,16.8,800,485,402,0,2,2,0.606,0.621,22.58,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
75.0,61.8,41,30.2,3.4,500,147,146,2,3,0,0.294,0.824,33.18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
77.9,73.2,11,24.9,8.7,1000,407,226,0,2,5,0.407,0.94,23.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
131.4,74.9,31,24.9,16.6,800,609,416,2,2,5,0.761,0.57,23.64,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
97.1,67.0,59,24.9,11.9,1500,1154,210,2,1,1,0.769,0.69,16.28,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
90.3,75.1,31,30.2,9.5,800,342,393,2,3,5,0.428,0.832,37.43,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
