Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition prog.
2020,SEP,PITTSYLVANIA,,,0,0,0
2019,APR,ALBEMARLE,2866,6403,177361.59853999998,115.00000000000001,1929.7
2019,APR,AMHERST,1041,2466,120660.05257999999,524,0
2019,APR,APPOMATTOX,827,1204,30915.219800000003,,0
2019,APR,AUGUSTA,2880,7272,310195.12883000006,71,1998
2019,APR,BATH,259,485,16254.525699999998,,0
2019,APR,BEDFORD COUNTY,430,932,15695.98968,,0
2019,APR,BUCKINGHAM,957,1861,36084.05874,,0
2019,APR,BUENA VISTA,917,1763,24928.62981,,0
2019,APR,CAMPBELL,810,1458,73045.21908999998,,5802
2019,APR,CHARLOTTESVILLE,1450,3069,45248.952990000005,0,0
2019,APR,CLARKE COUNTY,207,387,13060.437460000001,,0
2019,APR,CULPEPER,386.99999999999994,927,34044.36538,,0
2019,APR,FAUQUIER,772,1635,67229.35608,,0
2019,APR,FLUVANNA,510,1135,26466.347749999997,99.00000000000001,2552
2019,APR,FREDERICK,2214,4390,55299.53247999999,,0
2019,APR,GREENE,440,998,31453.953540000002,77,720
2019,APR,HARRISONBURG,2797,7769,160511.35404,0,800
2019,APR,HIGHLAND,199,367,14835.831730000002,,0
2019,APR,LEXINGTON,678,1362,36057.768169999996,,0
2019,APR,LOUDOUN,2279,8311,178266.68538000004,1124,18366.4
2019,APR,LYNCHBURG,7427,10605,138029.91183,450,23357.3
2019,APR,MADISON,219,497,22589.59556,,0
2019,APR,NELSON,598,1132,40104.56418,,0
2019,APR,ORANGE,539,1367,41727.534,,0
2019,APR,PAGE COUNTY,318,629,43968.0245,,0
2019,APR,PITTSYLVANIA,,,0,87,2140.2000000000003
2019,APR,RAPPAHANNOCK,271,654,17087.111060000003,,0
2019,APR,ROCKBRIDGE,2647,3090,15194.373160000001,,0
2019,APR,ROCKINGHAM,1603,2964,95392.48666,,0
2019,APR,SHENANDOAH,1482,3863,109753.97362,,0
2019,APR,STAUNTON CITY,481,5228,29005.123259999997,,811
2019,APR,WARREN,716,2189,43495.53326,278,205.3
2019,APR,WAYNESBORO,640,1087,15243.51796,,7807.5
2019,APR,WINCHESTER,2778,7659,139327.11568000002,220,6856
2019,AUG,ALBEMARLE,2486,6370,187384.638,0,0
2019,AUG,AMHERST,1169,2338,109323.69300000001,530,3587.5
2019,AUG,APPOMATTOX,658,2125,23352.201999999997,,0
2019,AUG,AUGUSTA,3111,8176,291585.07174999994,36,0
2019,AUG,BATH,304,536,14809.75966,,0
2019,AUG,BEDFORD COUNTY,492,1426,25988.3925,,0
2019,AUG,BUCKINGHAM,930,1880,36178.52,,0
2019,AUG,BUENA VISTA,874,1335,33041.433699999994,,0
2019,AUG,CAMPBELL,1007,2262,90570.12395,,3643.8
2019,AUG,CHARLOTTESVILLE,601,7044,41166.018000000004,0,243.5
2019,AUG,CLARKE COUNTY,168,338,12149.085,0,0
2019,AUG,CULPEPER,661,1491,33035.4432,,0
2019,AUG,FAUQUIER,878,2001.0000000000002,68727.06,,0
2019,AUG,FLUVANNA,602,1238,33053.2725,0,0
2019,AUG,FREDERICK,3267,5281,54522.05900000001,,0
2019,AUG,GREENE,396,1150,43821.54849999999,0,0
2019,AUG,HARRISONBURG,2796,7565,150610.1759,49,4175.5
2019,AUG,HIGHLAND,201,371,8876.5,,0
2019,AUG,LEXINGTON,704,1594,42186.67429,,0
2019,AUG,LOUDOUN,2692,9043,185850.51840000003,0,8712.5
2019,AUG,LYNCHBURG,2339,10020,180785.40370000002,2344,14888.9
2019,AUG,MADISON,286,662,26597.195,,0
2019,AUG,NELSON,562,1038,37756.97945,,0
2019,AUG,ORANGE,603,1566,46913.592000000004,,0
2019,AUG,PAGE COUNTY,278,605,59430.005000000005,,0
2019,AUG,PITTSYLVANIA,,,0,85,1209.2
2019,AUG,RAPPAHANNOCK,245,782,16711.25,,0
2019,AUG,ROCKBRIDGE,1456,1798,8309.356749999999,,0
2019,AUG,ROCKINGHAM,1688,3205,90367.3177,,0
2019,AUG,SHENANDOAH,1200,3137,100233.38561999999,,0
2019,AUG,STAUNTON CITY,434,5773,19582.725,,918
