donation_id,donation_date,city,state,donor_type,food_type,quantity_donated_kg,quantity_available_kg,shelf_life_hours,storage_condition,storage_temp_C,distance_to_foodbank_km,foodbank_id,foodbank_capacity_kg,current_stock_kg,beneficiaries_count,transport_available,redistribution_priority,donor_contact_number,remarks
DON-0050,2026-03-02,Jaipur,Rajasthan,Restaurant,Wheat Flour,116.3,103.3,114.0,No Storage,,6.6,FB-03,1500,1351,276.0,Yes,Medium,+91-988456985,ok
DON-0583,2026-02-02,amritsar ,Punjab,Restaurant,Fruits,77.4,52.2,59.0,Cold,,20.0,FB-03,500,446,98.0,No,low ,+91-985048745,
DON-0083,2026-01-12,Jaipur,Rajasthan,Restaurant,Cooked Meals,99.5,86.3,4.0,Cold,,10.5,FB-02,800,136,183.0,,High,+91-986497191,ok
DON-0306,2026-01-26,Patiala,Punjab,Wedding Hall,Wheat Flour,134.2,94.9,207.0,No Storage,,-6.8,FB-03,1000,839,152.0,,med,+91-982936983,ok
DON-0110,2026-02-04,Jalandhar,Punjab,Farm,vegetables,113.5,70.5,10.0,Room,,16.8,FB-03,800,485,402.0,yes,HIGH ,+91-984325315,ok
DON-0011,2026-03-09,Amritsar,Punjab,Gurudwara Langar,vegetables,75.0,61.8,41.0,No Storage,,3.4,FB-01,500,147,146.0,YES ,med,+91-985041776,
DON-0269,2026-02-28,Jalandhar,Punjab,Farm,Cooked Meals,77.9,73.2,11.0,Room,,8.7,FB-03,1000,407,226.0,Yes,high,+91-981561548,festival surplus
DON-0354,2026-02-14,Jalandhar,Punjab,Restaurant,Dairy,131.4,74.9,,Room,,16.6,FB-04,800,609,416.0,yes,Medium,+91-988100282,urgent pickup
DON-0329,2026-01-27,Bathinda,Punjab,Hostel Mess,Rice,97.1,,59.0,Room,,11.9,FB-05,1500,1154,210.0,yes,MEDIUM ,+91-986210558,ok
DON-0534,2026-03-07,ludhiana,Punjab,Restaurant,Dairy,90.3,75.1,,No Storage,,9.5,FB-03,800,342,393.0,yes,MEDIUM ,+91-985599000,
DON-0282,2026-03-08,Ludhiana,Punjab,Restaurant,Fruits,86.8,60.4,43.0,Room,,11.9,FB-02,1000,371,226.0,yes,MEDIUM ,+91-982650522,ok
DON-0488,2026-02-28,Bathinda,Punjab,Supermarket,cooked meals ,80.7,45.0,5.0,Room,,6.0,FB-03,500,459,120.0,Yes,Medium,+91-987006172,festival surplus
DON-0235,2026-01-22,Patiala,Punjab,Restaurant,VEGETABLES ,70.3,98.42,,Cold,,13.2,FB-02,1000,458,169.0,Yes,MEDIUM ,+91-982698413,urgent pickup
DON-0132,2026-02-14,chandigarh ,Chandigarh UT,Gurudwara Langar,cooked meals ,45.3,33.9,5.0,Cold,,10.3,FB-01,1000,138,275.0,Yes,high,+91-981049976,ok
DON-0003,2026-02-02,Patiala,Punjab,Gurudwara Langar,Bread/Bakery,82.3,78.1,24.0,Room,,14.0,FB-05,800,446,287.0,Yes,Medium,+91-987080526,ok
DON-0228,2026-02-27,Jalandhar,Punjab,Supermarket,Fruits,190.1,155.6,46.0,No Storage,,9.1,FB-01,1000,807,88.0,YES ,med,+91-983242365,ok
DON-0577,2026-02-05,LUDHIANA ,Punjab,Hostel Mess,Bread/Bakery,46.4,37.8,15.0,Room,,16.0,FB-05,1000,142,124.0,yes,med,+91-985647193,ok
DON-0427,2026-02-15,Bathinda,Punjab,Restaurant,Dairy,63.8,53.7,18.0,Cold,,27.6,FB-02,500,361,236.0,N,Medium,+91-987380798,
DON-0185,2026-02-23,CHANDIGARH,Chandigarh UT,Restaurant,RICE,119.9,67.7,105.0,Cold,,7.2,FB-04,1000,771,154.0,yes,MEDIUM ,+91-981287635,festival surplus
DON-0399,2026-02-17,CHANDIGARH,Chandigarh UT,Supermarket,Dairy,98.7,75.7,33.0,No Storage,,2.6,FB-01,800,288,247.0,Y,med,+91-986221995,
DON-0375,2026-03-07,Ludhiana,Punjab,Farm,Dairy,77.2,67.0,30.0,Room,,11.5,FB-04,1000,542,177.0,,MEDIUM ,+91-987616243,
DON-0079,2026-02-25,Bathinda,Punjab,Restaurant,rice ,56.7,34.9,57.0,No Storage,,9.4,FB-04,500,266,197.0,No,MEDIUM ,+91-989064220,
DON-0248,2026-01-05,Amritsar,Punjab,Gurudwara Langar,Rice,102.3,74.1,33.0,Cold,,4.9,FB-02,800,753,94.0,Y,MEDIUM ,+91-987874399,
DON-0056,2026-02-07,ludhiana,Punjab,Gurudwara Langar,Fruits,92.5,62.7,64.0,No Storage,,15.9,FB-04,800,596,,No,LOW,+91-985897954,
DON-0221,2026-02-25,chandigarh ,Chandigarh UT,Household,Dairy,95.4,66.0,22.0,Cold,,10.9,FB-03,500,79,264.0,Yes,Medium,+91-986888852,ok
