C101 Solomon benchmark (truncated: depot + first 25 customers of 100)
Vehicle capacity 200; coordinates scaled to Punjab corridor in scripts/benchmark_vrp_lambda.py

CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0       1236          0
    1      45         68         10        912        967         90
    2      45         70         30        825        880         90
    3      42         66         10         65        146         90
    4      42         68         10        727        782         90
    5      42         65         10        343        398         90
    6      40         69         20        507        562         90
    7      40         66         10        351        406         90
    8      38         68         20        461        516         90
    9      36         68         10        337        392         90
   10      35         74         20        577        632         90
   11      25         38         10        448        503         90
   12      27         66         10        650        705         90
   13      22         65         30        108       183          90
   14       4         30         20        559       614          90
   15      23         52         10        471       526          90
   16      11         42         10        443       498          90
   17      12         31         10        376       431          90
   18      18         43         10        453       508          90
   19      13         13         20        205       260          90
   20      15         67         60        599       654          90
   21      18         63         55        244       299          90
   22      16          4         10        572       627          90
   23      21         10         15        489       544          90
   24      24         12         10        590       645          90
